0,5
0,8
0,13
0,14
0,15
0,17
0,18
0,19
0,21
0,22
0,23
0,24
0,26
0,27
0,29
0,30
0,31
0,32
0,33
0,38
0,39
0,40
0,41
0,46
0,48
0,52
0,53
0,59
0,60
0,63
0,65
0,66
0,67
0,68
0,70
0,71
0,73
0,75
0,76
0,77
0,78
0,79
0,81
0,82
0,83
0,84
0,85
0,87
0,88
0,91
0,96
0,97
0,100
0,101
0,102
0,103
0,104
1,6
1,9
1,10
1,11
1,12
1,13
1,18
1,20
1,21
1,22
1,23
1,24
1,27
1,28
1,30
1,31
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,42
1,44
1,47
1,48
1,49
1,50
1,54
1,55
1,56
1,57
1,58
1,60
1,61
1,64
1,65
1,69
1,71
1,74
1,77
1,79
1,80
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,92
1,93
1,94
1,95
1,96
1,98
1,100
1,102
1,103
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,15
2,16
2,19
2,22
2,23
2,24
2,25
2,26
2,28
2,29
2,32
2,34
2,35
2,36
2,37
2,43
2,44
2,45
2,46
2,47
2,49
2,50
2,51
2,52
2,55
2,56
2,57
2,58
2,59
2,61
2,62
2,64
2,65
2,66
2,67
2,68
2,72
2,74
2,75
2,76
2,78
2,80
2,89
2,90
2,91
2,92
2,93
2,95
2,97
2,99
3,5
3,6
3,7
3,8
3,13
3,14
3,15
3,16
3,17
3,19
3,20
3,21
3,25
3,30
3,31
3,32
3,33
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,47
3,48
3,51
3,53
3,54
3,55
3,56
3,58
3,60
3,61
3,62
3,63
3,66
3,68
3,69
3,70
3,71
3,72
3,73
3,78
3,79
3,80
3,81
3,83
3,84
3,86
3,89
3,90
3,93
3,94
3,95
3,96
3,97
3,98
3,99
3,100
3,101
3,102
3,103
3,104
4,7
4,9
4,10
4,11
4,12
4,14
4,16
4,17
4,18
4,20
4,25
4,26
4,27
4,28
4,29
4,34
4,41
4,42
4,43
4,45
4,46
4,49
4,50
4,51
4,52
4,53
4,54
4,57
4,59
4,62
4,63
4,64
4,67
4,69
4,70
4,72
4,73
4,74
4,75
4,76
4,77
4,81
4,82
4,85
4,86
4,87
